FID IID race
0 NA18561 ASN
0 NA18562 ASN
0 NA18563 ASN
0 NA18564 ASN
0 NA18565 ASN
0 NA18566 ASN
0 NA18567 ASN
0 NA18570 ASN
0 NA18571 ASN
0 NA18572 ASN
0 NA18573 ASN
0 NA18574 ASN
0 NA18576 ASN
0 NA18577 ASN
0 NA18579 ASN
0 NA18582 ASN
0 NA18592 ASN
0 NA18593 ASN
0 NA18603 ASN
0 NA18605 ASN
0 NA18608 ASN
0 NA18609 ASN
0 NA18611 ASN
0 NA18612 ASN
0 NA18614 ASN
0 NA18615 ASN
0 NA18616 ASN
0 NA18617 ASN
0 NA18618 ASN
0 NA18619 ASN
0 NA18620 ASN
0 NA18621 ASN
0 NA18622 ASN
0 NA18623 ASN
0 NA18624 ASN
0 NA18625 ASN
0 NA18626 ASN
0 NA18627 ASN
0 NA18628 ASN
0 NA18630 ASN
0 NA18631 ASN
0 NA18632 ASN
0 NA18633 ASN
0 NA18634 ASN
0 NA18636 ASN
0 NA18638 ASN
0 NA18640 ASN
0 NA18642 ASN
0 NA18643 ASN
0 NA18745 ASN
0 NA18853 AFR
0 NA18856 AFR
0 NA18858 AFR
0 NA18861 AFR
0 NA18867 AFR
0 NA18868 AFR
0 NA18870 AFR
0 NA18871 AFR
0 NA18873 AFR
0 NA18874 AFR
0 NA18907 AFR
0 NA18908 AFR
0 NA18909 AFR
0 NA18910 AFR
0 NA18912 AFR
0 NA18916 AFR
0 NA18940 ASN
0 NA18941 ASN
0 NA18942 ASN
0 NA18943 ASN
0 NA18944 ASN
0 NA18945 ASN
0 NA18947 ASN
0 NA18948 ASN
0 NA18949 ASN
0 NA18950 ASN
0 NA18951 ASN
0 NA18952 ASN
0 NA18953 ASN
0 NA18955 ASN
0 NA18956 ASN
0 NA18959 ASN
0 NA18960 ASN
0 NA18961 ASN
0 NA18963 ASN
0 NA18964 ASN
0 NA18965 ASN
0 NA18967 ASN
0 NA18968 ASN
0 NA18970 ASN
0 NA18971 ASN
0 NA18972 ASN
0 NA18973 ASN
0 NA18974 ASN
0 NA18975 ASN
0 NA18976 ASN
0 NA18977 ASN
0 NA18979 ASN
0 NA18980 ASN
0 NA18981 ASN
0 NA18982 ASN
0 NA18983 ASN
0 NA18984 ASN
0 NA18985 ASN
0 NA18986 ASN
0 NA18987 ASN
0 NA18988 ASN
0 NA18989 ASN
0 NA18990 ASN
0 NA18997 ASN
0 NA18999 ASN
0 NA19000 ASN
0 NA19001 ASN
0 NA19002 ASN
0 NA19003 ASN
0 NA19004 ASN
0 NA19005 ASN
0 NA19007 ASN
0 NA19009 ASN
0 NA19010 ASN
0 NA19012 ASN
0 NA19027 AFR
0 NA19044 AFR
0 NA19054 ASN
0 NA19055 ASN
0 NA19056 ASN
0 NA19057 ASN
0 NA19058 ASN
0 NA19059 ASN
0 NA19060 ASN
0 NA19062 ASN
0 NA19063 ASN
0 NA19064 ASN
0 NA19065 ASN
0 NA19066 ASN
0 NA19067 ASN
0 NA19068 ASN
0 NA19070 ASN
0 NA19072 ASN
0 NA19074 ASN
0 NA19075 ASN
0 NA19076 ASN
0 NA19077 ASN
0 NA19078 ASN
0 NA19079 ASN
0 NA19082 ASN
0 NA19083 ASN
0 NA19084 ASN
0 NA19085 ASN
0 NA19086 ASN
0 NA19087 ASN
0 NA19088 ASN
0 NA19093 AFR
0 NA19098 AFR
0 NA19099 AFR
0 NA19102 AFR
0 NA19107 AFR
0 NA19108 AFR
0 NA19113 AFR
0 NA19114 AFR
0 NA19116 AFR
0 NA19119 AFR
0 NA19129 AFR
0 NA19130 AFR
0 NA19131 AFR
0 NA19137 AFR
0 NA19138 AFR
0 NA19141 AFR
0 NA19143 AFR
0 NA19144 AFR
0 NA19147 AFR
0 NA19152 AFR
0 NA19153 AFR
0 NA19159 AFR
0 NA19160 AFR
0 NA19171 AFR
0 NA19172 AFR
0 NA19184 AFR
0 NA19189 AFR
0 NA19190 AFR
0 NA19200 AFR
0 NA19201 AFR
0 NA19204 AFR
0 NA19206 AFR
0 NA19207 AFR
0 NA19209 AFR
0 NA19210 AFR
0 NA19213 AFR
0 NA19225 AFR
0 NA19235 AFR
0 NA19236 AFR
0 NA19247 AFR
0 NA19248 AFR
0 NA19256 AFR
0 NA19257 AFR
0 NA19311 AFR
0 NA19312 AFR
0 NA19313 AFR
0 NA19314 AFR
0 NA19332 AFR
0 NA19334 AFR
0 NA19338 AFR
0 NA19346 AFR
0 NA19347 AFR
0 NA19350 AFR
0 NA19355 AFR
0 NA19359 AFR
0 NA19360 AFR
0 NA19371 AFR
0 NA19372 AFR
0 NA19375 AFR
0 NA19376 AFR
0 NA19377 AFR
0 NA19379 AFR
0 NA19381 AFR
0 NA19382 AFR
0 NA19383 AFR
0 NA19384 AFR
0 NA19385 AFR
0 NA19390 AFR
0 NA19391 AFR
0 NA19393 AFR
0 NA19394 AFR
0 NA19395 AFR
0 NA19397 AFR
0 NA19398 AFR
0 NA19399 AFR
0 NA19401 AFR
0 NA19404 AFR
0 NA19428 AFR
0 NA19429 AFR
0 NA19434 AFR
0 NA19435 AFR
0 NA19436 AFR
0 NA19437 AFR
0 NA19438 AFR
0 NA19439 AFR
0 NA19440 AFR
0 NA19443 AFR
0 NA19444 AFR
0 NA19445 AFR
0 NA19446 AFR
0 NA19448 AFR
0 NA19449 AFR
0 NA19451 AFR
0 NA19452 AFR
0 NA19453 AFR
0 NA19455 AFR
0 NA19456 AFR
0 NA19457 AFR
0 NA19461 AFR
0 NA19462 AFR
0 NA19463 AFR
0 NA19466 AFR
0 NA19467 AFR
0 NA19469 AFR
0 NA19471 AFR
0 NA19472 AFR
0 NA19473 AFR
0 NA19474 AFR
0 NA19625 AFR
0 NA19648 AMR
0 NA19649 AMR
0 NA19651 AMR
0 NA19652 AMR
0 NA19654 AMR
0 NA19655 AMR
0 NA19658 AMR
0 NA19660 AMR
0 NA19661 AMR
0 NA19678 AMR
0 NA19684 AMR
0 NA19685 AMR
0 NA19700 AFR
0 NA19701 AFR
0 NA19703 AFR
0 NA19704 AFR
0 NA19707 AFR
0 NA19712 AFR
0 NA19713 AFR
0 NA19720 AMR
0 NA19722 AMR
0 NA19723 AMR
0 NA19725 AMR
0 NA19726 AMR
0 NA19818 AFR
0 NA19819 AFR
0 NA19834 AFR
0 NA19835 AFR
0 NA19900 AFR
0 NA19901 AFR
0 NA19904 AFR
0 NA19908 AFR
0 NA19909 AFR
0 NA19914 AFR
0 NA19916 AFR
0 NA19917 AFR
0 NA19920 AFR
0 NA19921 AFR
0 NA19982 AFR
0 NA20414 AFR
0 NA20502 EUR
0 NA20505 EUR
0 NA20508 EUR
0 NA20509 EUR
0 NA20510 EUR
0 NA20512 EUR
0 NA20515 EUR
0 NA20516 EUR
0 NA20517 EUR
0 NA20518 EUR
0 NA20519 EUR
0 NA20520 EUR
0 NA20521 EUR
0 NA20522 EUR
0 NA20524 EUR
0 NA20525 EUR
0 NA20526 EUR
0 NA20527 EUR
0 NA20528 EUR
0 NA20529 EUR
0 NA20530 EUR
0 NA20531 EUR
0 NA20532 EUR
0 NA20533 EUR
0 NA20534 EUR
0 NA20535 EUR
0 NA20536 EUR
0 NA20537 EUR
0 NA20538 EUR
0 NA20539 EUR
0 NA20540 EUR
0 NA20541 EUR
0 NA20542 EUR
0 NA20543 EUR
0 NA20544 EUR
0 NA20581 EUR
0 NA20582 EUR
0 NA20585 EUR
0 NA20586 EUR
0 NA20588 EUR
0 NA20589 EUR
0 NA20752 EUR
0 NA20753 EUR
0 NA20754 EUR
0 NA20755 EUR
0 NA20756 EUR
0 NA20757 EUR
0 NA20758 EUR
0 NA20759 EUR
0 NA20760 EUR
0 NA20761 EUR
0 NA20765 EUR
0 NA20769 EUR
0 NA20770 EUR
0 NA20771 EUR
0 NA20772 EUR
0 NA20773 EUR
0 NA20774 EUR
0 NA20775 EUR
0 NA20778 EUR
0 NA20783 EUR
0 NA20785 EUR
0 NA20786 EUR
0 NA20787 EUR
0 NA20790 EUR
0 NA20792 EUR
0 NA20795 EUR
0 NA20796 EUR
0 NA20797 EUR
0 NA20798 EUR
0 NA20799 EUR
0 NA20800 EUR
0 NA20801 EUR
0 NA20802 EUR
0 NA20803 EUR
0 NA20804 EUR
0 NA20805 EUR
0 NA20806 EUR
0 NA20807 EUR
0 NA20808 EUR
0 NA20809 EUR
0 NA20810 EUR
0 NA20811 EUR
0 NA20812 EUR
